epoch,base_train_loss,base_val_loss,base_val_auc,base_gen_gap,drop_train_loss,drop_val_loss,drop_val_auc,drop_gen_gap
1,0.3904568172603847,0.3297028153572442,0.9050056055255781,-0.06075400190314051,0.43875881670067707,0.34387596598211323,0.9001600346368672,-0.09488285071856384
2,0.3191132832497665,0.3200027290380226,0.9084952885490485,0.0008894457882561158,0.3473778208305208,0.3252959003988302,0.9065743599751135,-0.022081920431690605
3,0.3088710607548089,0.3187242577660759,0.9083690374478486,0.009853197011266968,0.3348083622594035,0.32183445905739405,0.9083642578586065,-0.012973903202009474
4,0.3018675366972178,0.31934335265519487,0.9080706045585857,0.017475815957977092,0.3314507008465059,0.3213338267128423,0.9089464351433638,-0.010116874133663634
5,0.297874155270215,0.32118973979410137,0.9072213531530076,0.02331558452388638,0.32764313433870346,0.318995197988906,0.9093338150226685,-0.008647936349797436
6,0.29316852516155456,0.3220127528568484,0.9066505419646187,0.028844227695293823,0.323162737301011,0.3174314094039629,0.9102383231428994,-0.005731327897048111
7,0.2878854403603798,0.3250022159432465,0.9049669607979256,0.037116775582866746,0.32093700571860684,0.31625727437577156,0.9112788164058352,-0.0046797313428352805
8,0.284453372400363,0.3253723945257799,0.9039236697266528,0.04091902212541687,0.3202010410296877,0.31751377852457874,0.9110076038601826,-0.0026872625051089782
9,0.2803882394936198,0.3261561151945366,0.9043667726219999,0.04576787570091678,0.3185076268532576,0.31750960226328867,0.9111058768780141,-0.0009980245899689488
10,0.27133439965849765,0.3262165166297049,0.9054850799293039,0.05488211697120726,0.316535836457453,0.31564477929529156,0.9113016068862456,-0.0008910571621614238
11,0.26687315725053246,0.32928144144562055,0.9037591819115162,0.06240828419508809,0.3161112147192679,0.3163523617780434,0.9111537893457826,0.0002411470587754816
12,0.26326527290548507,0.33316987640452833,0.9030670740741906,0.06990460349904326,0.313540918160699,0.31578041303832577,0.9112661679806456,0.0022394948776267576
13,0.2621358909805478,0.3347415867841469,0.9012318283805715,0.0726056958035991,0.31367218751445486,0.31610443232194435,0.9108689957721618,0.002432244807489492
14,0.2583127135278271,0.33378217805106686,0.9024915415842334,0.07546946452323977,0.31332533542706326,0.3163500608138318,0.9111528567430036,0.0030247253867685675
15,0.2555773027249233,0.33874482197581596,0.9019247522453286,0.08316751925089266,0.3105170263255577,0.31560363353423354,0.911434969083635,0.00508660720867582
16,0.25002491585531367,0.33709833532009487,0.9014654453766975,0.0870734194647812,0.3096204394959617,0.314428873781888,0.912074618014645,0.004808434285926311
17,0.24605844576913755,0.3376848528969963,0.901762479361792,0.09162640712785874,0.3071963529540244,0.3162140638198493,0.9113835593554456,0.009017710865824868
18,0.24547189943915618,0.3427260293150848,0.9000378636728252,0.0972541298759286,0.30681301834059505,0.31461086700547414,0.9119098970488134,0.007797848664879092
19,0.2440063040518765,0.3421134723807281,0.900194191213646,0.09810716832885158,0.3061678357247703,0.3155342565392548,0.9115866336105611,0.009366420814484522
20,0.2421413831289926,0.34526082311036455,0.9004733308829196,0.10311943998137194,0.3059224852463703,0.31686369596787217,0.9111073340698563,0.010941210721501893
21,0.24008656188976504,0.34733277896665177,0.8983626176434689,0.10724621707688672,0.3037572889200109,0.31618831405099834,0.910933928240646,0.012431025130987428
22,0.2375003769847849,0.34904067471342265,0.8988174363612265,0.11154029772863774,0.30425917204824154,0.31633286093765833,0.9111400334547932,0.01207368888941679
23,0.23619139150049603,0.3488604943707304,0.8989209552696894,0.11266910287023438,0.3027092448332806,0.31613154849916136,0.9111849149635299,0.013422303665880764
24,0.2337563307970572,0.3504357045551516,0.8981878129100902,0.1166793737580944,0.3023826212675714,0.3152762898858988,0.911836163141603,0.012893668618327359
25,0.23351585905693664,0.3511287811792122,0.898004789614722,0.11761292212227556,0.3006117527420269,0.3156073487029885,0.9113323827779509,0.014995595960961616
26,0.23378549748469704,0.35302686466360994,0.8980277549581536,0.1192413671789129,0.299593525160479,0.3158684024270975,0.9114670273041613,0.016274877266618526
27,0.23225254080650623,0.35257759184207554,0.8984072077138374,0.12032505103556931,0.29934920766292294,0.3166475959543912,0.9112311953764352,0.017298388291468236
28,0.22992003106469114,0.35475745122387725,0.8963651573539867,0.12483742015918611,0.29848589553770943,0.3160302352230504,0.9113617597654877,0.01754433968534097
29,0.23004034416432434,0.3530165395646725,0.8974931404151225,0.12297619540034815,0.29796793217637,0.3161673051006389,0.9112816725018458,0.018199372924268875
30,0.22943103250741972,0.35460774347467244,0.8973983646577119,0.12517671096725272,0.29603541310500714,0.316198615533001,0.9114279745627929,0.020163202427993854
