Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Log-Loss,Brier Score,Generalization Gap (Loss),Gini Concentration,Attribution Entropy,Top-5 Feature Share
Baseline (p=0.0),84.88%,73.24%,61.39%,66.80%,0.9086,0.7758,0.3188,0.1029,+0.1301,0.7678,0.7434,41.2%
Dropout (p=0.20),85.04%,73.82%,61.39%,67.03%,0.9114,0.7832,0.3148,0.1014,+0.0220,0.7704,0.7389,44.4%
