epoch,base_train_loss,base_val_loss,base_val_auc,base_gen_gap,drop_train_loss,drop_val_loss,drop_val_auc,drop_gen_gap
1,0.613292903522527,0.48700937861981597,0.8832588657472559,-0.126283524902711,0.7016991509413867,0.533284680739693,0.851481142696313,-0.16841447020169364
2,0.40343351875032696,0.3685094961221667,0.9327329017731496,-0.034924022628160245,0.5327814112909092,0.42888972111370255,0.9159073318322544,-0.10389169017720662
3,0.31020351237391836,0.30111431047536324,0.9497255840135097,-0.00908920189855511,0.42928863763809205,0.3643241700918778,0.9305868280326485,-0.06496446754621427
4,0.2587515651069072,0.26498233516147174,0.9596291866028709,0.006230770054564516,0.37010546400680305,0.315453688217246,0.9426189135941457,-0.054651775789557044
5,0.2265519382050319,0.24207464054874753,0.9650383478750352,0.015522702343715639,0.3169714341622702,0.284703803062439,0.9494353363354912,-0.03226763109983122
6,0.2032316395214626,0.2216920372368633,0.9701396707008163,0.0184603977154007,0.29570575567506113,0.26144172704738117,0.9566739375175908,-0.034264028627679965
7,0.1852222396350055,0.20867751854053443,0.9723473121305939,0.023455278905528926,0.2715088417811423,0.2421665807996971,0.9620391218688433,-0.029342260981445212
8,0.17072045601302793,0.2017717223668444,0.9739832535885168,0.03105126635381647,0.2515559467284576,0.22685234576895616,0.9666479031804109,-0.024703600959501443
9,0.15682580350718883,0.19728693880032802,0.975144244300591,0.04046113529313919,0.24216387549542492,0.2151472616886747,0.9699197860962567,-0.027016613806750217
10,0.14889365984416156,0.1929891215286393,0.9752673796791443,0.044095461684477755,0.22813507383284362,0.20911942543326945,0.9711423444976077,-0.019015648399574175
11,0.1401144354239754,0.191255284089973,0.9753993104418802,0.05114084866599761,0.22016881508116395,0.20258639662162117,0.9725144244300592,-0.01758241845954278
12,0.1351271599346066,0.18767689565817516,0.9754696735153392,0.05254973572356855,0.20994750590798278,0.19792267740636632,0.9739040951308753,-0.012024828501616458
13,0.12396682200964934,0.18825701211673626,0.9750386996904026,0.06429019010708692,0.19710158381773077,0.19403261235658673,0.9749243596960315,-0.0030689714611440433
14,0.11861326746318651,0.18871434862199038,0.9746253166338307,0.07010108115880387,0.1902068185139887,0.19114082779573358,0.9761733042499297,0.0009340092817448631
15,0.11107395795746619,0.18832327503225077,0.975258584294962,0.07724931707478458,0.1927573340464823,0.18887552333914714,0.976621868843231,-0.003881810707335148
16,0.1055081906525985,0.1860277701979098,0.9750211089220377,0.0805195795453113,0.18603630465750368,0.1857769570056943,0.9776245426400225,-0.00025934765180937736
17,0.10675256763185774,0.1889948235473771,0.9748803827751197,0.08224225591551935,0.19244286927007,0.18523099729116413,0.9776949057134816,-0.007211871978905882
18,0.10223062359583304,0.18985315945701323,0.9737018012946806,0.08762253586118018,0.17708942468121924,0.18351473462754403,0.9782050379960596,0.0064253099463247865
19,0.0919188150430318,0.191229658930198,0.9735698705319449,0.0993108438871662,0.18201567219651263,0.18314442820307136,0.9779763580073177,0.0011287560065587343
20,0.08812591240087651,0.18877038182555766,0.9741327751196172,0.10064446942468115,0.1729463990430654,0.1803776210632877,0.9781962426118773,0.007431222020222283
21,0.0854480833833262,0.19020408478336057,0.9750562904587672,0.10475600140003437,0.1693556215081896,0.17770502925782963,0.9785480579791725,0.00834940774964002
22,0.08243154851916414,0.1913217354943787,0.9741151843512524,0.10889018697521456,0.16502348732504046,0.17885625677696174,0.9786008302842668,0.013832769451921273
23,0.07824275049363605,0.18983613930750584,0.9743702504925414,0.11159338881386979,0.1618896233183997,0.17760075633076655,0.9790581902617507,0.015711133012366846
24,0.07325551100769398,0.19184402814809826,0.9741855474247115,0.11858851714040428,0.16995577860322797,0.18007299580435823,0.9785216718266255,0.010117217201130263
25,0.07799979187316776,0.19552032018917195,0.9734379397692091,0.1175205283160042,0.14878555186416792,0.1827740877866745,0.9781786518435125,0.033988535922506585
26,0.07270408454611435,0.19629938416722892,0.9735434843793977,0.12359529962111457,0.14972996048120238,0.18022152625996132,0.9784952856740783,0.030491565778758944
27,0.0683084286703086,0.19591922064622244,0.973596256684492,0.12761079197591385,0.15051561371880287,0.1779038933740146,0.978952645651562,0.027388279655211734
28,0.06582738513254231,0.19593427777290345,0.9736050520686743,0.13010689264036113,0.1540911235239195,0.17566812245742133,0.9797002533070643,0.021576998933501845
29,0.06773077547550202,0.19666852147682853,0.9734203490008443,0.12893774600132651,0.1454365157285092,0.17525999805201656,0.9798497748381649,0.029823482323507344
30,0.06979419121645992,0.19514483001785002,0.9737281874472277,0.12535063880139008,0.16296648403502398,0.17767417305621547,0.9796650717703349,0.014707689021191489
31,0.06879419158704532,0.19702109085476915,0.973596256684492,0.12822689926772385,0.14262122417458836,0.1753548127585563,0.9801664086687306,0.03273358858396794
32,0.06725554960484831,0.19752349469108857,0.9734819166901211,0.13026794508624026,0.15305716232483432,0.1768469067155451,0.980034477905995,0.02378974439071077
33,0.06175593384859725,0.1977635588766872,0.9737457782155926,0.13600762502808994,0.14323190265560742,0.17843846704648889,0.9796035040810583,0.03520656439088146
34,0.06086110032123068,0.19967365174189858,0.9736314382212216,0.1388125514206679,0.13977265522716947,0.17906955644704292,0.9796122994652406,0.03929690121987345
35,0.06335990881512624,0.19870875978815383,0.9738161412890515,0.1353488509730276,0.14114711847364533,0.17464769344398942,0.9802015902054603,0.03350057497034409
