Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Log-Loss,Brier Score,Generalization Gap (Loss),Gini Concentration,Attribution Entropy,Top-5 Feature Share
Baseline (p=0.0),92.19%,90.37%,89.71%,90.04%,0.9774,0.9632,0.1910,0.0548,+0.1353,0.4025,0.9339,24.4%
Dropout (p=0.20),93.20%,91.51%,91.18%,91.34%,0.9803,0.9701,0.1844,0.0544,+0.0335,0.4316,0.9241,24.8%
